Eval
MERTENS,7,6,6,110598,192,221357,164,optimal,4.45810604095459,Normal,0.35211706161499023,0.0
MERTENS,7,2,18,72266,90,146595,54,optimal,0.854036808013916,Normal,0.23397231101989746,0.0
BOWMAN,8,5,20,435230,210,878554,146,optimal,11.765598773956299,Normal,1.8100686073303223,0.0010144710540771484
JAESCHKE,9,8,6,124624,202,251364,173,optimal,2.439303159713745,Normal,0.5049183368682861,0.0010006427764892578
JAESCHKE,9,3,18,114960,111,236154,47,optimal,2.033264636993408,Normal,0.40241408348083496,0.0003578662872314453
JACKSON,11,8,7,196041,233,396137,166,optimal,4.2828874588012695,Normal,0.8241269588470459,0.0
JACKSON,11,3,21,135131,110,281853,57,optimal,3.09419322013855,Normal,0.381087064743042,0.0009970664978027344
MANSOOR,11,4,48,900955,191,1867286,111,optimal,26.651905059814453,Normal,3.4864563941955566,0.001247406005859375
MANSOOR,11,2,94,468804,98,1091666,71,optimal,10.286030769348145,Normal,1.651416540145874,0.0
MITCHELL,21,8,14,835518,334,1712028,225,optimal,52.71434760093689,Normal,3.155592679977417,0.0
MITCHELL,21,3,39,437978,140,971108,84,optimal,19.047510862350464,Normal,1.6280770301818848,0.0
ROSZIEG,25,10,14,1224169,403,2517590,242,optimal,91.14166760444641,Normal,5.071443319320679,0.0
ROSZIEG,25,4,32,642398,186,1393411,118,optimal,71.64543199539185,Normal,2.7213401794433594,0.0
BUXEY,29,14,25,428063,507,1130308,315,optimal,298.1620604991913,Normal,3.8995184898376465,0.00039196014404296875
BUXEY,29,7,47,2452544,304,5334696,184,optimal,1217.9402832984924,Normal,10.196839809417725,0.0
SAWYER,30,14,25,4081623,553,8450629,358,optimal,415.8941924571991,Normal,18.832557201385498,0.0
SAWYER,30,7,47,2635816,316,5680920, ,Unsat,2162.010686159134,Normal,13.602333307266235,0.0
MaxHS
MERTENS,7,6,6,110598,192,221357,164,optimal,5.878632068634033,Normal,0.3673257827758789,0.0
MaxHS
MERTENS,7,6,6,110598,192,221357,164,optimal,5.547274351119995,Normal,0.3474006652832031,0.0005643367767333984
